,species,family,name,region,part,source
317,Chloranthus spicatus,Chloranthaceae,chulan,SE As,flower; leaf,van_wyk_culinary_2014
318,Chloranthus spicatus,Chloranthaceae,cha ran,SE As,flower; leaf,van_wyk_culinary_2014
319,Chrysanthemum balsamita,Asteraceae,alecost,Eur,herb,van_wyk_culinary_2014
320,Chrysanthemum balsamita,Asteraceae,costmary,Eur,herb,van_wyk_culinary_2014
321,Chrysanthemum coronarium,Asteraceae,chop suey greens,Med,leaf; seedlings,van_wyk_culinary_2014
322,Chrysanthemum coronarium,Asteraceae,crown daisy,Med,leaf; seedlings,van_wyk_culinary_2014
323,Chrysanthemum coronarium,Asteraceae,garland chrysanthemum,Med,leaf; seedlings,van_wyk_culinary_2014
324,Chrysanthemum coronarium,Asteraceae,garland daisy,Med,leaf; seedlings,van_wyk_culinary_2014
325,Chrysanthemum coronarium,Asteraceae,tangho,Med,leaf; seedlings,van_wyk_culinary_2014
326,Chrysanthemum coronarium,Asteraceae,Japanese greens,Med,leaf; seedlings,van_wyk_culinary_2014
327,Chrysanthemum ×morifolium,Asteraceae,ju hua,China,flower heads ,van_wyk_culinary_2014
328,Chrysanthemum ×morifolium,Asteraceae,florist chrysanthemum,China,flower heads ,van_wyk_culinary_2014
329,Chrysanthemum vulgare,Asteraceae,tansy,Eur; Med,leaf,van_wyk_culinary_2014
330,Chrysopogon zizanioides (=Vetiveria zizanioides),Poaceae,vetiver (grass),Ind,rhizome; root,van_wyk_culinary_2014
331,Chrysopogon zizanioides (=Vetiveria zizanioides),Poaceae,cus cus (grass),Ind,rhizome; root,van_wyk_culinary_2014
332,Chrysopogon zizanioides (=Vetiveria zizanioides),Poaceae,khus khus (grass),Ind,rhizome; root,van_wyk_culinary_2014
333,Cichorium endivia,Asteraceae,endive,Med,leaf,van_wyk_culinary_2014
334,Cinchona officinalis,Rubiaceae,quinine,S Am,bark,van_wyk_culinary_2014
335,Cinchona officinalis,Rubiaceae,chinabark,S Am,bark,van_wyk_culinary_2014
336,Cinchona officinalis,Rubiaceae,Peruvian bark,S Am,bark,van_wyk_culinary_2014
337,Cinchona officinalis,Rubiaceae,yellow cinchona,S Am,bark,van_wyk_culinary_2014
338,Cinchona officinalis,Rubiaceae,ledger bark,S Am,bark,van_wyk_culinary_2014
339,Cinchona officinalis,Rubiaceae,yellow bark,S Am,bark,van_wyk_culinary_2014
340,Cinchona pubescens,Rubiaceae,quinine,S Am,bark,van_wyk_culinary_2014
341,Cinchona pubescens,Rubiaceae,red cinchona,S Am,bark,van_wyk_culinary_2014
342,Cinchona pubescens,Rubiaceae,red Peruvian,S Am,bark,van_wyk_culinary_2014
343,Cinchona pubescens,Rubiaceae,red bark,S Am,bark,van_wyk_culinary_2014
344,Cinchona pubescens,Rubiaceae,Jesuit bark,S Am,bark,van_wyk_culinary_2014
345,Cinnamomum aromaticum (=C. cassia),Lauraceae,cassia,Myanmar,bark,van_wyk_culinary_2014
346,Cinnamomum aromaticum (=C. cassia),Lauraceae,Chinese cinnamon,Myanmar,bark,van_wyk_culinary_2014
347,Cinnamomum aromaticum (=C. cassia),Lauraceae,Chinese cassia,Myanmar,bark,van_wyk_culinary_2014
348,Cinnamomum burmanii,Lauraceae,Indonesian cassia,SE As,bark; leaf,van_wyk_culinary_2014
349,Cinnamomum burmanii,Lauraceae,Padang cassia,SE As,bark; leaf,van_wyk_culinary_2014
350,Cinnamomum burmanii,Lauraceae,Batavia cassia,SE As,bark; leaf,van_wyk_culinary_2014
351,Cinnamomum burmanii,Lauraceae,Korintje cassia,SE As,bark; leaf,van_wyk_culinary_2014
352,Cinnamomum camphora,Lauraceae,camphor,As; E As,gum,van_wyk_culinary_2014
353,Cinnamomum loureiroi,Lauraceae,Vietnamese cassia,SE As,bark; flower,van_wyk_culinary_2014
354,Cinnamomum loureiroi,Lauraceae,Saigon cinnamon,SE As,bark; flower,van_wyk_culinary_2014
355,Cinnamomum tamala,Lauraceae,Indian cassia lignea,Ind,leaf; bark,van_wyk_culinary_2014
356,Cinnamomum tamala,Lauraceae,Indian bark,Ind,leaf; bark,van_wyk_culinary_2014
357,Cinnamomum tamala,Lauraceae,Malabathri bark,Ind,leaf; bark,van_wyk_culinary_2014
358,Cinnamomum verum (=C. zeylanicum),Lauraceae,cinnamon,Sri Lanka; SW Ind,bark; leaf,van_wyk_culinary_2014
359,Cinnamomum verum (=C. zeylanicum),Lauraceae,Ceylon cinnamon,Sri Lanka; SW Ind,bark; leaf,van_wyk_culinary_2014
360,Citrus aurantiifolia,Rutaceae,lime,Trop As,fruit; leaves,van_wyk_culinary_2014
361,Citrus aurantiifolia,Rutaceae,limon,Trop As,fruit; leaves,van_wyk_culinary_2014
362,Citrus aurantiifolia,Rutaceae,key lime,Trop As,fruit; leaves,van_wyk_culinary_2014
363,Citrus aurantiifolia,Rutaceae,Mexican lime,Trop As,fruit; leaves,van_wyk_culinary_2014
364,Citrus aurantiifolia,Rutaceae,sour lime,Trop As,fruit; leaves,van_wyk_culinary_2014
365,Citrus aurantiifolia,Rutaceae,Persian lime,Trop As,fruit; leaves,van_wyk_culinary_2014
366,Citrus aurantiifolia,Rutaceae,West Indian lime,Trop As,fruit; leaves,van_wyk_culinary_2014
367,Citrus aurantium,Rutaceae,bigarade,Trop As,flower; peel; juice,van_wyk_culinary_2014
368,Citrus aurantium,Rutaceae,bitter orange,Trop As,flower; peel; juice,van_wyk_culinary_2014
369,Citrus aurantium,Rutaceae,Seville orange,Trop As,flower; peel; juice,van_wyk_culinary_2014
370,Citrus aurantium,Rutaceae,orange (American),Trop As,flower; peel; juice,van_wyk_culinary_2014
371,Citrus bergamia,Rutaceae,bergamot,Med,peel of ripe fruits,van_wyk_culinary_2014
372,Citrus bergamia,Rutaceae,bergamot orange,Med,peel of ripe fruits,van_wyk_culinary_2014
373,Citrus cavaleriei,Rutaceae,ichang papeda,Trop As,fruit,van_wyk_culinary_2014
374,Citrus ×deliciosa,unknown,Mediterranean mandarin,Trop As,fruit,van_wyk_culinary_2014
375,Citrus hystrix,Rutaceae,lime leaf,Trop As,leaf; fruit,van_wyk_culinary_2014
376,Citrus hystrix,Rutaceae,makrut lime,Trop As,leaf; fruit,van_wyk_culinary_2014
377,Citrus hystrix,Rutaceae,papeda,Trop As,leaf; fruit,van_wyk_culinary_2014
378,Citrus jambhiri,Rutaceae,rough lemon,Trop As,fruit,van_wyk_culinary_2014
379,Citrus ×junos,Rutaceae,yuzu,W China,fruit,van_wyk_culinary_2014
380,Citrus latifolia,Rutaceae,Tahiti lime,Trop As,fruit (juice); peel,van_wyk_culinary_2014
381,Citrus latifolia,Rutaceae,Persian lime,Trop As,fruit (juice); peel,van_wyk_culinary_2014
382,Citrus latifolia,Rutaceae,seedless lime,Trop As,fruit (juice); peel,van_wyk_culinary_2014
383,Citrus limon,Rutaceae,lemon,Trop As,peel; fruit,van_wyk_culinary_2014
384,Citrus madurensis,Rutaceae,calamondin,Trop As,fruit,van_wyk_culinary_2014
385,Citrus medica var. medica,Rutaceae,citron,Trop As; C As,fruit,van_wyk_culinary_2014
386,Citrus medica var. medica,Rutaceae,citron peel,Trop As; C As,fruit,van_wyk_culinary_2014
387,Citrus medica var. sarcodactylis,Rutaceae,Buddha’s hand,Trop As,fruit; peel,van_wyk_culinary_2014
388,Citrus myrtifolia,Rutaceae,myrtle leaf orange,Trop As,fruit; peel,van_wyk_culinary_2014
389,Citrus nobilis,Rutaceae,king mandarin,Trop As,fruit,van_wyk_culinary_2014
390,Citrus reticulata,Rutaceae,tangerine,E As; China,peeled fruit,van_wyk_culinary_2014
391,Citrus reticulata,Rutaceae,mandarin,E As; China,peeled fruit,van_wyk_culinary_2014
392,Citrus reticulata,Rutaceae,clementine,E As; China,peeled fruit,van_wyk_culinary_2014
393,Citrus reticulata,Rutaceae,nartjie,E As; China,peeled fruit,van_wyk_culinary_2014
394,Citrus sinensis,Rutaceae,orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
395,Citrus sinensis,Rutaceae,blood orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
396,Citrus sinensis,Rutaceae,navel orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
397,Citrus sinensis,Rutaceae,sweet orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
398,Citrus sinensis,Rutaceae,Valencia orange,Trop As,fruit; peel; flower,van_wyk_culinary_2014
399,Citrus trifoliata (=Poncirus trifoliata),Rutaceae,trifoliate orange,C & N China,fruit,van_wyk_culinary_2014
400,Citrus trifoliata (=Poncirus trifoliata),Rutaceae,citrangequat,C & N China,fruit,van_wyk_culinary_2014
401,Citrus trifoliata (=Poncirus trifoliata),Rutaceae,Japanese bitter orange,C & N China,fruit,van_wyk_culinary_2014
402,Citrus unshiu,Rutaceae,satsuma mandarin,Trop As; China,fruit,van_wyk_culinary_2014
403,Citrus unshiu,Rutaceae,unshiu mikan,Trop As; China,fruit,van_wyk_culinary_2014
404,Clausena anisata,Rutaceae,horsewood,Afr,leaf,van_wyk_culinary_2014
405,Clausena anisata,Rutaceae,clausena,Afr,leaf,van_wyk_culinary_2014
406,Clausena anisum-olens,Rutaceae,kayumanis,E As,leaf,van_wyk_culinary_2014
407,Clausena anisum-olens,Rutaceae,danglais,E As,leaf,van_wyk_culinary_2014
408,Clausena excavata,Rutaceae,pink lime-berry,SE As,leaf,van_wyk_culinary_2014
409,Clausena excavata,Rutaceae,Hollywood clausena,SE As,leaf,van_wyk_culinary_2014
410,Clausena lansium,Rutaceae,Chinese wampee,E As,leaf,van_wyk_culinary_2014
411,Clausena lansium,Rutaceae,wampi,E As,leaf,van_wyk_culinary_2014
412,Cleome gynandra,Capparaceae,African mustard,Afr; As,leaf; fruit; seed,van_wyk_culinary_2014
413,Cleome gynandra,Capparaceae,African spider flower,Afr; As,leaf; fruit; seed,van_wyk_culinary_2014
414,Cnidium monnieri,Apiaceae,snow parsley,E As,fruit,van_wyk_culinary_2014
415,Cocos nucifera,Arecaceae,coconut,Trop As,fruit,van_wyk_culinary_2014
416,Coffea arabica,Rubiaceae,coffee,NE Afr (Ethiopia),seed,van_wyk_culinary_2014
417,Coffea arabica,Rubiaceae,Arabian coffee,NE Afr (Ethiopia),seed,van_wyk_culinary_2014
418,Coffea canephora,Rubiaceae,robusta coffee,Afr,seed,van_wyk_culinary_2014
419,Coffea canephora,Rubiaceae,Congo coffee,Afr,seed,van_wyk_culinary_2014
420,Coffea liberica,Rubiaceae,Liberian or Abeokuta coffee,Afr,seed,van_wyk_culinary_2014
421,Cola acuminata,Malvaceae,cola nut,W Afr,seed,van_wyk_culinary_2014
422,Cola acuminata,Malvaceae,abata cola,W Afr,seed,van_wyk_culinary_2014
423,Cola nitida,Malvaceae,gbanja cola,Afr,seed,van_wyk_culinary_2014
424,Coluria geoides,Rosaceae,Siberian avens,As,root,van_wyk_culinary_2014
425,Coluria geoides,Rosaceae,clove root,As,root,van_wyk_culinary_2014
426,Coluria geoides,Rosaceae,clove oil plant,As,root,van_wyk_culinary_2014
427,Coriandrum sativum,Apiaceae,coriander,Med; W As; Ind,fruit; leaf,van_wyk_culinary_2014
428,Coriandrum sativum,Apiaceae,cilantro,Med; W As; Ind,fruit; leaf,van_wyk_culinary_2014
429,Coriandrum sativum,Apiaceae,Chinese parsley,Med; W As; Ind,fruit; leaf,van_wyk_culinary_2014
430,Corylus americana,Betulaceae,American hazelnut,N Am,seed,van_wyk_culinary_2014
431,Corylus avellana,Betulaceae,hazelnut,Eur; As,seed,van_wyk_culinary_2014
432,Corylus colurna,Betulaceae,Turkish hazelnut,W As,seed,van_wyk_culinary_2014
433,Corylus maxima,Betulaceae,filbert,Eur; C & W As,seed,van_wyk_culinary_2014
434,Cosmos sulphureus,Asteraceae,orange cosmos,N Am,herb,van_wyk_culinary_2014
435,Cosmos sulphureus,Asteraceae,yellow cosmos,N Am,herb,van_wyk_culinary_2014
436,Costus afer,Zingiberaceae,ginger lily,Trop As,rhizome,van_wyk_culinary_2014
437,Costus afer,Zingiberaceae,spiral ginger,Trop As,rhizome,van_wyk_culinary_2014
438,Crambe maritima,Brassicaceae,seakale,Eur; W As,leaf,van_wyk_culinary_2014
439,Crambe maritima,Brassicaceae,sea kale,Eur; W As,leaf,van_wyk_culinary_2014
440,Crateva religiosa,Capparaceae,garlic pear,Madag,fruit,van_wyk_culinary_2014
441,Crateva religiosa,Capparaceae,sacred barma,Madag,fruit,van_wyk_culinary_2014
442,Crateva religiosa,Capparaceae,temple tree,Madag,fruit,van_wyk_culinary_2014
443,Crateva tapia,Capparaceae,tapia fruit,Madag,fruit,van_wyk_culinary_2014
444,Crateva tapia,Capparaceae,payagua,Madag,fruit,van_wyk_culinary_2014
445,Crocus sativus,Iridaceae,saffron,Med; W As,stigma,van_wyk_culinary_2014
446,Cryptocarya moschata,Lauraceae,Brazilian nutmeg,S Am,seed,van_wyk_culinary_2014
447,Cryptocarya moschata,Lauraceae,(South) American nutmeg,S Am,seed,van_wyk_culinary_2014
448,Cryptotaenia japonica,Apiaceae,mitsuba,China,fresh leaf,van_wyk_culinary_2014
449,Cryptotaenia japonica,Apiaceae,Japanese parsley,China,fresh leaf,van_wyk_culinary_2014
450,Cuminum cyminum,Apiaceae,cumin,W & C As; Ind,fruit,van_wyk_culinary_2014
451,Cunila origanoides,Lamiaceae,American dittany,N Am,herb,van_wyk_culinary_2014
452,Cunila origanoides,Lamiaceae,frost flower,N Am,herb,van_wyk_culinary_2014
453,Cunila origanoides,Lamiaceae,Maryland dittany,N Am,herb,van_wyk_culinary_2014
454,Cunila origanoides,Lamiaceae,mountain dittany,N Am,herb,van_wyk_culinary_2014
455,Cunila origanoides,Lamiaceae,stone mint,N Am,herb,van_wyk_culinary_2014
456,Cunila spicata,Lamiaceae,(American) stone mint,N Am; C Am; S Am,herb,van_wyk_culinary_2014
457,Curcuma amada,Zingiberaceae,mango ginger,S As,rhizome,van_wyk_culinary_2014
458,Curcuma aromatica,Zingiberaceae,Bombay or Indian arrowroot,S As,rhizome,van_wyk_culinary_2014
459,Curcuma aromatica,Zingiberaceae,wild turmeric,S As,rhizome,van_wyk_culinary_2014
460,Curcuma aromatica,Zingiberaceae,yellow zedoary,S As,rhizome,van_wyk_culinary_2014
461,Curcuma longa (=C. domestica),Zingiberaceae,turmeric,Ind,rhizome,van_wyk_culinary_2014
462,Curcuma mangga,Zingiberaceae,Indonesian mango ginger,Trop As,rhizome,van_wyk_culinary_2014
463,Curcuma zedoaria,Zingiberaceae,zedoary,Ind,rhizome,van_wyk_culinary_2014
464,Curcuma zedoaria,Zingiberaceae,Japanese turmeric,Ind,rhizome,van_wyk_culinary_2014
465,Cymbopogon citratus,Poaceae,lemongrass,cultigen (As?),leaf,van_wyk_culinary_2014
466,Cymbopogon flexuosus,Poaceae,East Indian lemongrass,S As,leaf,van_wyk_culinary_2014
467,Cymbopogon flexuosus,Poaceae,Malabar lemongrass,S As,leaf,van_wyk_culinary_2014
468,Cymbopogon flexuosus,Poaceae,Cochin grass,S As,leaf,van_wyk_culinary_2014
469,Cymbopogon iwarancusa,Poaceae,karnkusa grass,As,leaf,van_wyk_culinary_2014
470,Cymbopogon iwarancusa,Poaceae,khavi grass,As,leaf,van_wyk_culinary_2014
471,Cymbopogon martinii,Poaceae,ginger grass,Ind,leaf,van_wyk_culinary_2014
472,Cymbopogon martinii,Poaceae,rosha grass,Ind,leaf,van_wyk_culinary_2014
473,Cymbopogon martinii,Poaceae,palmarosa grass,Ind,leaf,van_wyk_culinary_2014
474,Cymbopogon nardus,Poaceae,citronella,Trop As,leaf,van_wyk_culinary_2014
475,Cymbopogon nardus,Poaceae,Ceylon citronella,Trop As,leaf,van_wyk_culinary_2014
476,Cymbopogon nardus,Poaceae,nard grass,Trop As,leaf,van_wyk_culinary_2014
477,Cymbopogon schoenanthus,Poaceae,camel grass,N Afr; As,leaf,van_wyk_culinary_2014
478,Cymbopogon schoenanthus,Poaceae,geranium grass,N Afr; As,leaf,van_wyk_culinary_2014
479,Cymbopogon winterianus,Poaceae,Java citronella,As,leaf,van_wyk_culinary_2014
480,Cymbopogon winterianus,Poaceae,Java lemongrass,As,leaf,van_wyk_culinary_2014
481,Cynometra cauliflora,Leguminosae,katak puru,SE As,cooked fruits,van_wyk_culinary_2014
482,Cynometra cauliflora,Leguminosae,nam nam,SE As,cooked fruits,van_wyk_culinary_2014
483,Cynometra cauliflora,Leguminosae,puki,SE As,cooked fruits,van_wyk_culinary_2014
484,Cynometra cauliflora,Leguminosae,puru,SE As,cooked fruits,van_wyk_culinary_2014
485,Decalepsis hamiltonii,Apocynaceae,mahali kizhangu,S As,root,van_wyk_culinary_2014
486,Deianira nervosa,Gentianaceae,Deianiraktaut,Trop Am,herb,van_wyk_culinary_2014
487,Dianthus caryophyllus,Caryophyllaceae,carnation,Med,flower,van_wyk_culinary_2014
488,Dianthus caryophyllus,Caryophyllaceae,clove pink,Med,flower,van_wyk_culinary_2014
489,Dianthus caryophyllus,Caryophyllaceae,gilly flower,Med,flower,van_wyk_culinary_2014
490,Dicypellium caryophyllatum,Lauraceae,clove bark,S Am,bark,van_wyk_culinary_2014
491,Dicypellium caryophyllatum,Lauraceae,pinkwood bark,S Am,bark,van_wyk_culinary_2014
492,Dillenia indica,Dilleniaceae,chalta tree,Ind; C Malay,fruit pulp,van_wyk_culinary_2014
493,Dillenia indica,Dilleniaceae,elephant apple,Ind; C Malay,fruit pulp,van_wyk_culinary_2014
494,Diplotaxis tenuifolia,Brassicaceae,wild rocket,Eu,leaf,van_wyk_culinary_2014
495,Dipteryx odorata,Leguminosae,tonka,Trop Am,seed,van_wyk_culinary_2014
496,Dipteryx odorata,Leguminosae,tonka bean,Trop Am,seed,van_wyk_culinary_2014
497,Dorystaechus hastata,Lamiaceae,Turkish lavender,SW Turkey,herb,van_wyk_culinary_2014
498,Dracocephalum moldavica,Lamiaceae,Moldavian balm,E Eur; E As,leaf; herb,van_wyk_culinary_2014
499,Dracocephalum moldavica,Lamiaceae,dragon’s head,E Eur; E As,leaf; herb,van_wyk_culinary_2014
500,Dracontomelon dao,Anacardiaceae,argus pheasant,Indomal,fruit; leaf; flower,van_wyk_culinary_2014
501,Drimys lanceolata,Winteraceae,pepper tree,Tasmania; Aus,fruit,van_wyk_culinary_2014
502,Drimys lanceolata,Winteraceae,Australian pepper tree,Tasmania; Aus,fruit,van_wyk_culinary_2014
503,Drimys lanceolata,Winteraceae,mountain pepper,Tasmania; Aus,fruit,van_wyk_culinary_2014
504,Drimys lanceolata,Winteraceae,Tasmania pepper,Tasmania; Aus,fruit,van_wyk_culinary_2014
505,Drimys piperita,Winteraceae,South American mountain pepper,S Am,fruit,van_wyk_culinary_2014
506,Drimys winteri,Winteraceae,drimys bark,S Am,bark,van_wyk_culinary_2014
507,Drimys winteri,Winteraceae,winter’s bark,S Am,bark,van_wyk_culinary_2014
508,Echinophora tenuifolia,Apiaceae,prickly parsnip,Eur,leaf; stalk,van_wyk_culinary_2014
509,Elettaria cardamomum,Zingiberaceae,cardamom,Ind,fruit & seed,van_wyk_culinary_2014
510,Elsholtzia ciliata,Lamiaceae,common elsholtzia,C & E As,herb,van_wyk_culinary_2014
511,Elsholtzia ciliata,Lamiaceae,Vietnamese balm,C & E As,herb,van_wyk_culinary_2014
512,Embelia philippinensis,Myrsinaceae,woody vine,Philipp,leaf,van_wyk_culinary_2014
513,Emilia javanica,Asteraceae,tassel flower,Trop Afr; Trop As,leaf; root,van_wyk_culinary_2014
514,Eruca sativa,Brassicaceae,rocket,Med,leaf; seed,van_wyk_culinary_2014
515,Eruca sativa,Brassicaceae,arugula,Med,leaf; seed,van_wyk_culinary_2014
516,Eryngium foetidum,Apiaceae,culantro,Trop Am,leaf; root,van_wyk_culinary_2014
517,Eryngium foetidum,Apiaceae,eryngo,Trop Am,leaf; root,van_wyk_culinary_2014
518,Eryngium foetidum,Apiaceae,sawtooth coriander,Trop Am,leaf; root,van_wyk_culinary_2014
519,Escobedia scabrifolia,Scrophulariaceae,saffron of Andes,Trop Am,root,van_wyk_culinary_2014
520,Escobedia scabrifolia,Scrophulariaceae,saffron root,Trop Am,root,van_wyk_culinary_2014
521,Etlingera elatior (=Phaeomeria magnifica),Zingiberaceae,torch ginger,Trop As,flower bud ,van_wyk_culinary_2014
522,Etlingera elatior (=Phaeomeria magnifica),Zingiberaceae,Philippine wax flower,Trop As,flower bud ,van_wyk_culinary_2014
523,Eupatorium cannabinum,Asteraceae,hemp agrimony,Eur; Med; C As,leaf; herb,van_wyk_culinary_2014
524,Ferula assa-foetida,Apiaceae,asafoetida,W & C As,gum,van_wyk_culinary_2014
525,Ferula assa-foetida,Apiaceae,devil’s dung,W & C As,gum,van_wyk_culinary_2014
526,Ferula assa-foetida,Apiaceae,hing,W & C As,gum,van_wyk_culinary_2014
527,Ferula foetida,Apiaceae,asafoetida,W As (Iran),gum,van_wyk_culinary_2014
528,Ferula foetida,Apiaceae,fetida,W As (Iran),gum,van_wyk_culinary_2014
529,Ferula gummosa,Apiaceae,galbanum,W As (Iran),gum,van_wyk_culinary_2014
530,Ferula narthex,Apiaceae,asafoetida,Afghanistan,gum,van_wyk_culinary_2014
531,Filipendula ulmaria,Rosaceae,meadow sweet,Eur; As,flower,van_wyk_culinary_2014
532,Filipendula ulmaria,Rosaceae,dropwort,Eur; As,flower,van_wyk_culinary_2014
533,Foeniculum vulgare,Apiaceae,fennel,Eur; Med,fruit; leaf,van_wyk_culinary_2014
534,Fortunella crassifolia,Rutaceae,large round kumquat,China,fruit,van_wyk_culinary_2014
535,Fortunella crassifolia,Rutaceae,meiwa kumquat,China,fruit,van_wyk_culinary_2014
536,Fortunella hindsii,Rutaceae,Hongkong wild kumquat,E As,fruit,van_wyk_culinary_2014
537,Fortunella hindsii,Rutaceae,Formosan kumquat,E As,fruit,van_wyk_culinary_2014
538,Fortunella japonica,Rutaceae,round kumquat,E As (China),fruit,van_wyk_culinary_2014
539,Fortunella japonica,Rutaceae,marumi kumquat,E As (China),fruit,van_wyk_culinary_2014
540,Fortunella margarita,Rutaceae,oval kumquat,E As (China),fruit,van_wyk_culinary_2014
541,Fortunella margarita,Rutaceae,nagami kumquat,E As (China),fruit,van_wyk_culinary_2014
542,Fortunella polyandra,Rutaceae,Malayan kumquat,E As,fruit,van_wyk_culinary_2014
543,Fortunella polyandra,Rutaceae,hedge lime,E As,fruit,van_wyk_culinary_2014
544,Galipea officinalis,Rutaceae,angostura,Trop Am,bark,van_wyk_culinary_2014
545,Galium odoratum,Rubiaceae,sweet woodruff,Eur; As,fresh herb,van_wyk_culinary_2014
546,Galium odoratum,Rubiaceae,woodruff asperule,Eur; As,fresh herb,van_wyk_culinary_2014
547,Garcinia atroviridis,Clusiaceae,asam gelungor,NE Ind,fruit,van_wyk_culinary_2014
548,Garcinia gummi-guta (=G. cambogia),Clusiaceae,Malabar tamarind,Ind,fruit,van_wyk_culinary_2014
549,Garcinia gummi-guta (=G. cambogia),Clusiaceae,cambodge,Ind,fruit,van_wyk_culinary_2014
550,Garcinia gummi-guta (=G. cambogia),Clusiaceae,goraga,Ind,fruit,van_wyk_culinary_2014
551,Garcinia indica,Clusiaceae,kokam,Ind,fruit peel,van_wyk_culinary_2014
552,Garcinia indica,Clusiaceae,kokum,Ind,fruit peel,van_wyk_culinary_2014
553,Garcinia xanthochymus,Clusiaceae,gamboges,N Ind,fruit,van_wyk_culinary_2014
554,Garcinia xanthochymus,Clusiaceae,mundu,N Ind,fruit,van_wyk_culinary_2014
555,Gardenia augusta,Rubiaceae,gardenia,China,flower; fruit,van_wyk_culinary_2014
556,Gardenia augusta,Rubiaceae,Cape jasmine,China,flower; fruit,van_wyk_culinary_2014
557,Gaultheria procumbens,Ericaceae,alpine wintergreen,N Am,essential oil,van_wyk_culinary_2014
558,Gaultheria procumbens,Ericaceae,creeping wintergreen,N Am,essential oil,van_wyk_culinary_2014
559,Gentiana lutea,Gentianaceae,yellow gentian,Eur; W As,rhizome,van_wyk_culinary_2014
560,Gentiana lutea,Gentianaceae,bitter root,Eur; W As,rhizome,van_wyk_culinary_2014
561,Geum urbanum,Rosaceae,clove root,Eur; As; N Am,root,van_wyk_culinary_2014
562,Geum urbanum,Rosaceae,herb bennet,Eur; As; N Am,root,van_wyk_culinary_2014
563,Geum urbanum,Rosaceae,wood avens,Eur; As; N Am,root,van_wyk_culinary_2014
564,Ginkgo biloba,Ginkgoaceae,gingko,E China,seeds,van_wyk_culinary_2014
565,Ginkgo biloba,Ginkgoaceae,maidenhair tree,E China,seeds,van_wyk_culinary_2014
566,Glechoma hederacea,Lamiaceae,alehoof,Eur,leaf; herb,van_wyk_culinary_2014
567,Glechoma hederacea,Lamiaceae,gill over the ground,Eur,leaf; herb,van_wyk_culinary_2014
568,Glechoma hederacea,Lamiaceae,ground ivy,Eur,leaf; herb,van_wyk_culinary_2014
569,Glehnia litoralis,Apiaceae,cork wing,NE As; N Am,leaf,van_wyk_culinary_2014
570,Globba marantina,Zingiberaceae,kapulaga ambon,E As,rhizome; herb,van_wyk_culinary_2014
571,Globba marantina,Zingiberaceae,halia utan,E As,rhizome; herb,van_wyk_culinary_2014
572,Globba marantina,Zingiberaceae,bonelau,E As,rhizome; herb,van_wyk_culinary_2014
573,Glycine max,Leguminosae,soybean,As; E As,seed,van_wyk_culinary_2014
574,Glycine max,Leguminosae,soya bean,As; E As,seed,van_wyk_culinary_2014
575,Glycine max,Leguminosae,soya,As; E As,seed,van_wyk_culinary_2014
576,Glycyrrhiza echinata,Leguminosae,Roman liquorice,S Eur,rhizome,van_wyk_culinary_2014
577,Glycyrrhiza glabra,Leguminosae,licorice,Med; W As; C As,rhizome,van_wyk_culinary_2014
578,Glycyrrhiza glabra,Leguminosae,liquorice,Med; W As; C As,rhizome,van_wyk_culinary_2014
579,Glycyrrhiza lepidota,Leguminosae,American licorice,N Am,rhizome,van_wyk_culinary_2014
580,Glycyrrhiza uralensis,Leguminosae,Chinese licorice,China; As,root,van_wyk_culinary_2014
581,Glycyrrhiza uralensis,Leguminosae,Manchurian liquorice,China; As,root,van_wyk_culinary_2014
582,Gnetum gnemon,Gnetaceae,melinjo,Trop As,leaf,van_wyk_culinary_2014
583,Gnetum gnemon,Gnetaceae,belinjo,Trop As,leaf,van_wyk_culinary_2014
584,Guajacum officinale,Zygophyllaceae,lignum vitae,C Am; S Am,wood; resin,van_wyk_culinary_2014
585,Guajacum sanctum,Zygophyllaceae,holywood,S Am,wood; resin,van_wyk_culinary_2014
586,Guajacum sanctum,Zygophyllaceae,lignum vitae,S Am,wood; resin,van_wyk_culinary_2014
587,Hedeoma pulegioides,Lamiaceae,American (false) pennyroyal,N Am,leaf,van_wyk_culinary_2014
588,Hedeoma pulegioides,Lamiaceae,mosquito plant,N Am,leaf,van_wyk_culinary_2014
589,Hedeoma pulegioides,Lamiaceae,pennyroyal,N Am,leaf,van_wyk_culinary_2014
590,Hedeoma pulegioides,Lamiaceae,squaw mint,N Am,leaf,van_wyk_culinary_2014
591,Hedeoma pulegioides,Lamiaceae,tickweed,N Am,leaf,van_wyk_culinary_2014
592,Helichrysum italicum,Asteraceae,curry plant,Med; W As,herb,van_wyk_culinary_2014
593,Helichrysum italicum,Asteraceae,Italian everlasting,Med; W As,herb,van_wyk_culinary_2014
594,Helichrysum italicum,Asteraceae,immortelle,Med; W As,herb,van_wyk_culinary_2014
595,Hemerocallis aurantiaca,Hemerocallidaceae,orange day lily,E As,flower,van_wyk_culinary_2014
596,Hemerocallis citrina,Hemerocallidaceae,lemon day lily,E As,flower,van_wyk_culinary_2014
597,Hemerocallis fulva,Hemerocallidaceae,fulvous day lily,As,flower,van_wyk_culinary_2014
