,species,family,name,region,part,source
739,Melissa officinalis,Lamiaceae,lemon balm,Med; As,leaf; herb,van_wyk_culinary_2014
740,Melissa officinalis,Lamiaceae,sweet balm,Med; As,leaf; herb,van_wyk_culinary_2014
741,Melissa officinalis,Lamiaceae,melissa,Med; As,leaf; herb,van_wyk_culinary_2014
742,Mentha alopecuroides,Lamiaceae,apple mint,Eur,leaf; herb,van_wyk_culinary_2014
743,Mentha alopecuroides,Lamiaceae,bowl mint,Eur,leaf; herb,van_wyk_culinary_2014
744,Mentha aquatica,Lamiaceae,water mint,Eur; Afr; W As,leaf; herb,van_wyk_culinary_2014
745,Mentha arvensis,Lamiaceae,corn mint,Eur; As,leaf; herb,van_wyk_culinary_2014
746,Mentha arvensis,Lamiaceae,field mint,Eur; As,leaf; herb,van_wyk_culinary_2014
747,Mentha arvensis,Lamiaceae,Japanese mint,Eur; As,leaf; herb,van_wyk_culinary_2014
748,Mentha ×cordifolia,Lamiaceae,Kentucky spearmint,N Am,herb,van_wyk_culinary_2014
749,Mentha ×gracilis,Lamiaceae,Scotch mint,Eur,leaf; herb,van_wyk_culinary_2014
750,Mentha ×gracilis,Lamiaceae,Scotch spearmint,Eur,leaf; herb,van_wyk_culinary_2014
751,Mentha ×gracilis,Lamiaceae,ginger mint,Eur,leaf; herb,van_wyk_culinary_2014
752,Mentha haplocalyx,Lamiaceae,Japanese peppermint,As,herb,van_wyk_culinary_2014
753,Mentha longifolia,Lamiaceae,horse mint,Eur; As; Afr,herb,van_wyk_culinary_2014
754,Mentha longifolia,Lamiaceae,long-leaf mint,Eur; As; Afr,herb,van_wyk_culinary_2014
755,Mentha ×piperita,Lamiaceae,peppermint,cultigen (Britain),leaf; herb,van_wyk_culinary_2014
756,Mentha ×piperita ‘citrata’,Lamiaceae,bergamot mint,Britain,fresh leaf,van_wyk_culinary_2014
757,Mentha ×piperita ‘citrata’,Lamiaceae,eau de Cologne mint,Britain,fresh leaf,van_wyk_culinary_2014
758,Mentha ×piperita ‘citrata’,Lamiaceae,lemon mint,Britain,fresh leaf,van_wyk_culinary_2014
759,Mentha ×piperita ‘citrata’,Lamiaceae,orange mint,Britain,fresh leaf,van_wyk_culinary_2014
760,Mentha pulegium,Lamiaceae,pennyroyal,Eur; W As,leaf; herb,van_wyk_culinary_2014
761,Mentha pulegium,Lamiaceae,pudding grass,Eur; W As,leaf; herb,van_wyk_culinary_2014
762,Mentha requienii,Lamiaceae,Corsican mint,Eur,leaf; herb,van_wyk_culinary_2014
763,Mentha requienii,Lamiaceae,menthella,Eur,leaf; herb,van_wyk_culinary_2014
764,Mentha ×rotundifolia,Lamiaceae,round-leaved mint,Eur,leaf; herb,van_wyk_culinary_2014
765,Mentha ×rotundifolia,Lamiaceae,false apple mint,Eur,leaf; herb,van_wyk_culinary_2014
766,Mentha ×smithiana,Lamiaceae,red mint,Eur,leaf; herb,van_wyk_culinary_2014
767,Mentha ×smithiana,Lamiaceae,bergamot mint,Eur,leaf; herb,van_wyk_culinary_2014
768,Mentha spicata,Lamiaceae,spearmint,Eur,leaf; herb,van_wyk_culinary_2014
769,Mentha spicata,Lamiaceae,garden mint,Eur,leaf; herb,van_wyk_culinary_2014
770,Mentha spicata,Lamiaceae,crisp mint,Eur,leaf; herb,van_wyk_culinary_2014
771,Mentha spicata,Lamiaceae,green mint,Eur,leaf; herb,van_wyk_culinary_2014
772,Mentha spicata,Lamiaceae,lamb mint,Eur,leaf; herb,van_wyk_culinary_2014
773,Mentha suaveolens,Lamiaceae,apple mint,Eur,leaf; herb,van_wyk_culinary_2014
774,Mentha suaveolens,Lamiaceae,pineapple mint,Eur,leaf; herb,van_wyk_culinary_2014
775,Mentha ×villosa,Lamiaceae,bowl mint,Eur,leaf,van_wyk_culinary_2014
776,Mentha ×villosa,Lamiaceae,apple mint,Eur,leaf,van_wyk_culinary_2014
777,Mentha ×villosa,Lamiaceae,woolly mint,Eur,leaf,van_wyk_culinary_2014
778,Menyanthes trifoliata,Menyanthaceae,bogbean,Eur; N Am; As,leaf,van_wyk_culinary_2014
779,Menyanthes trifoliata,Menyanthaceae,bogmyrtle,Eur; N Am; As,leaf,van_wyk_culinary_2014
780,Menyanthes trifoliata,Menyanthaceae,marsh-clover,Eur; N Am; As,leaf,van_wyk_culinary_2014
781,Menyanthes trifoliata,Menyanthaceae,marshtrefoil,Eur; N Am; As,leaf,van_wyk_culinary_2014
782,Menyanthes trifoliata,Menyanthaceae,water trefoil,Eur; N Am; As,leaf,van_wyk_culinary_2014
783,Merremia dissecta,Convolvulaceae,alamo vine,Trop Am,leaf,van_wyk_culinary_2014
784,Merremia dissecta,Convolvulaceae,dissected merremia,Trop Am,leaf,van_wyk_culinary_2014
785,Meum athamanticum,Apiaceae,baldmoney,N Afr; Eur,root; leaf,van_wyk_culinary_2014
786,Meum athamanticum,Apiaceae,bearwort,N Afr; Eur,root; leaf,van_wyk_culinary_2014
787,Meum athamanticum,Apiaceae,meu,N Afr; Eur,root; leaf,van_wyk_culinary_2014
788,Meum athamanticum,Apiaceae,spignel,N Afr; Eur,root; leaf,van_wyk_culinary_2014
789,Michelia champaca,Magnoliaceae,golden champa,C As,flower,van_wyk_culinary_2014
790,Michelia champaca,Magnoliaceae,yellow champa,C As,flower,van_wyk_culinary_2014
791,Micromeria fruticosa,Lamiaceae,talmud widder hyssop,E Med; Israel,herb,van_wyk_culinary_2014
792,Micromeria fruticosa,Lamiaceae,tea hyssop,E Med; Israel,herb,van_wyk_culinary_2014
793,Minthostachys mollis,Lamiaceae,Ecuadorian mint,N Andes,leaf; herb,van_wyk_culinary_2014
794,Minthostachys mollis,Lamiaceae,tipo leaf,N Andes,leaf; herb,van_wyk_culinary_2014
795,Mirabilis jalapa,Nyctaginaceae,beauty of the night,Mex,seed,van_wyk_culinary_2014
796,Mirabilis jalapa,Nyctaginaceae,false jalap,Mex,seed,van_wyk_culinary_2014
797,Mirabilis jalapa,Nyctaginaceae,four o’clock plant,Mex,seed,van_wyk_culinary_2014
798,Mirabilis jalapa,Nyctaginaceae,marvel of Peru,Mex,seed,van_wyk_culinary_2014
799,Momordica charantia,Cucurbitaceae,balsam pear,Trop OW,pulp,van_wyk_culinary_2014
800,Momordica charantia,Cucurbitaceae,bitter cucumber,Trop OW,pulp,van_wyk_culinary_2014
801,Momordica charantia,Cucurbitaceae,bitter gourd,Trop OW,pulp,van_wyk_culinary_2014
802,Momordica charantia,Cucurbitaceae,bitter melon,Trop OW,pulp,van_wyk_culinary_2014
803,Momordica charantia,Cucurbitaceae,carilla plant,Trop OW,pulp,van_wyk_culinary_2014
804,Monarda citriodora,Lamiaceae,lemon bergamot,Mex; USA,leaf,van_wyk_culinary_2014
805,Monarda citriodora,Lamiaceae,lemon mint,Mex; USA,leaf,van_wyk_culinary_2014
806,Monarda didyma,Lamiaceae,fragrant balm,E & N Am,leaf; herb,van_wyk_culinary_2014
807,Monarda didyma,Lamiaceae,Oswego bee balm,E & N Am,leaf; herb,van_wyk_culinary_2014
808,Monarda didyma,Lamiaceae,Oswego tea,E & N Am,leaf; herb,van_wyk_culinary_2014
809,Monarda fistulosa,Lamiaceae,bee balm,N Am,leaf,van_wyk_culinary_2014
810,Monarda fistulosa,Lamiaceae,horse bergamot,N Am,leaf,van_wyk_culinary_2014
811,Monarda fistulosa,Lamiaceae,wild bergamot,N Am,leaf,van_wyk_culinary_2014
812,Mondia whitei,Apocynaceae,white ginger,Trop Afr,root,van_wyk_culinary_2014
813,Monodora brevipes,Annonaceae,short-stemmed African nutmeg,Trop Afr,seed,van_wyk_culinary_2014
814,Monodora brevipes,Annonaceae,yellow flowery nutmeg,Trop Afr,seed,van_wyk_culinary_2014
815,Monodora myristica,Annonaceae,African nutmeg,Trop Afr,seed,van_wyk_culinary_2014
816,Monodora myristica,Annonaceae,false nutmeg,Trop Afr,seed,van_wyk_culinary_2014
817,Monodora myristica,Annonaceae,calabash nutmeg,Trop Afr,seed,van_wyk_culinary_2014
818,Monodora myristica,Annonaceae,Jamaica nutmeg,Trop Afr,seed,van_wyk_culinary_2014
819,Montia perfoliata,Portulacaceae,miner’s lettuce,N Am,leaf,van_wyk_culinary_2014
820,Montia perfoliata,Portulacaceae,Cuban spinach,N Am,leaf,van_wyk_culinary_2014
821,Montia perfoliata,Portulacaceae,winter purslane,N Am,leaf,van_wyk_culinary_2014
822,Moringa oleifera,Moringaceae,horseradish tree,Ind,flower; leaf; fruit,van_wyk_culinary_2014
823,Moringa oleifera,Moringaceae,drumstick tree,Ind,flower; leaf; fruit,van_wyk_culinary_2014
824,Murraya koenigii,Rutaceae,curry leaf,Ind; Sri Lanka,leaf,van_wyk_culinary_2014
825,Murraya paniculata,Rutaceae,jasmine orange,SE As; Aus,flower,van_wyk_culinary_2014
826,Murraya paniculata,Rutaceae,Chinese myrtle,SE As; Aus,flower,van_wyk_culinary_2014
827,Murraya paniculata,Rutaceae,Chinese box-wood,SE As; Aus,flower,van_wyk_culinary_2014
828,Murraya paniculata,Rutaceae,Burmese box-wood,SE As; Aus,flower,van_wyk_culinary_2014
829,Murraya paniculata,Rutaceae,satinwood,SE As; Aus,flower,van_wyk_culinary_2014
830,Murraya paniculata,Rutaceae,Hawaiian orange,SE As; Aus,flower,van_wyk_culinary_2014
831,Murraya paniculata,Rutaceae,orange jasmine,SE As; Aus,flower,van_wyk_culinary_2014
832,Myrica cerifera,Myricaceae,bay berry,N Am,leaf,van_wyk_culinary_2014
833,Myrica cerifera,Myricaceae,candle berry,N Am,leaf,van_wyk_culinary_2014
834,Myrica cerifera,Myricaceae,wax berry,N Am,leaf,van_wyk_culinary_2014
835,Myrica cerifera,Myricaceae,wax myrtle,N Am,leaf,van_wyk_culinary_2014
836,Myrica gale,Myricaceae,bog myrtle,N Am; Euras,herb,van_wyk_culinary_2014
837,Myrica gale,Myricaceae,gale meadow fern,N Am; Euras,herb,van_wyk_culinary_2014
838,Myrica gale,Myricaceae,sweet gale,N Am; Euras,herb,van_wyk_culinary_2014
839,Myrica gale,Myricaceae,sweet myrtle,N Am; Euras,herb,van_wyk_culinary_2014
840,Myrica gale,Myricaceae,wax berry,N Am; Euras,herb,van_wyk_culinary_2014
841,Myrica pennsylvanica,Myricaceae,bay berry,Eastern N Am,herb,van_wyk_culinary_2014
842,Myrica pennsylvanica,Myricaceae,candle berry,Eastern N Am,herb,van_wyk_culinary_2014
843,Myrica pennsylvanica,Myricaceae,northern bayberry,Eastern N Am,herb,van_wyk_culinary_2014
844,Myrica pennsylvanica,Myricaceae,waxy berry,Eastern N Am,herb,van_wyk_culinary_2014
845,Myristica argentea,Myristicaceae,silver nutmeg,New Guinea,seed; aril,van_wyk_culinary_2014
846,Myristica fragrans,Myristicaceae,nutmeg and mace,Moluccas,seed; aril,van_wyk_culinary_2014
847,Myristica malabarica,Myristicaceae,Bombay nutmeg,Indonesia,seed; aril,van_wyk_culinary_2014
848,Myristica malabarica,Myristicaceae,Malabar nutmeg,Indonesia,seed; aril,van_wyk_culinary_2014
849,Myristica speciosa,Myristicaceae,Moluccan nutmeg,Indonesia,seed,van_wyk_culinary_2014
850,Myroxylon balsamum,Leguminosae,balsam of Tolu,Venez; Peru,balsam,van_wyk_culinary_2014
851,Myroxylon balsamum,Leguminosae,balsam of Peru,Venez; Peru,balsam,van_wyk_culinary_2014
852,Myroxylon balsamum,Leguminosae,black balsam,Venez; Peru,balsam,van_wyk_culinary_2014
853,Myroxylon balsamum,Leguminosae,Peruvian balsam,Venez; Peru,balsam,van_wyk_culinary_2014
854,Myrrhis odorata,Apiaceae,cicely,Eur,fresh herb; fruit,van_wyk_culinary_2014
855,Myrrhis odorata,Apiaceae,sweet cicely,Eur,fresh herb; fruit,van_wyk_culinary_2014
856,Myrrhis odorata,Apiaceae,garden myrrh,Eur,fresh herb; fruit,van_wyk_culinary_2014
857,Myrtus communis,Myrtaceae,myrtle,Med,leaf; fruit,van_wyk_culinary_2014
858,Myrtus communis,Myrtaceae,common myrtle,Med,leaf; fruit,van_wyk_culinary_2014
859,Nardostachys jatamansi (N. grandiflora),Valerianaceae,jatamansi,As,leaf; rhizome,van_wyk_culinary_2014
860,Nardostachys jatamansi (N. grandiflora),Valerianaceae,Indian nard,As,leaf; rhizome,van_wyk_culinary_2014
861,Nardostachys jatamansi (N. grandiflora),Valerianaceae,spikenard,As,leaf; rhizome,van_wyk_culinary_2014
862,Nasturtium microphyllum,Brassicaceae,wild watercress,Eur,fresh leaf,van_wyk_culinary_2014
863,Nasturtium officinale (=Rorippa nasturtiumaquaticum),Brassicaceae,watercress,Eur,fresh leaf,van_wyk_culinary_2014
864,Nelumbo nucifera,Nelumbonaceae,lotus,As; Aus,herb; leaf,van_wyk_culinary_2014
865,Nepeta cataria,Lamiaceae,catmint,Eur; SW & C As,herb,van_wyk_culinary_2014
866,Nepeta cataria,Lamiaceae,catnip,Eur; SW & C As,herb,van_wyk_culinary_2014
867,Nepeta cataria,Lamiaceae,lemon catnip,Eur; SW & C As,herb,van_wyk_culinary_2014
868,Nepeta ×faassenii,Lamiaceae,blue catmint,Caucasus; Iran,herb,van_wyk_culinary_2014
869,Nepeta racemosa,Lamiaceae,mussin catnip,Caucasus; Turkey; N Iran,herb,van_wyk_culinary_2014
870,Nigella arvensis,Ranunculaceae,wild fennel,Euras; Eur; Med,seed; plant,van_wyk_culinary_2014
871,Nigella damascena,Ranunculaceae,love-in-a-mist,Med,seed,van_wyk_culinary_2014
872,Nigella damascena,Ranunculaceae,wild fennel,Med,seed,van_wyk_culinary_2014
873,Nigella sativa,Ranunculaceae,nigella,Med; As,seed,van_wyk_culinary_2014
874,Nigella sativa,Ranunculaceae,kalonji,Med; As,seed,van_wyk_culinary_2014
875,Nigella sativa,Ranunculaceae,black seed,Med; As,seed,van_wyk_culinary_2014
876,Ocimum americanum (=O. canum),Lamiaceae,hoary basil,Trop OW,leaf,van_wyk_culinary_2014
877,Ocimum americanum (=O. canum),Lamiaceae,lime basil,Trop OW,leaf,van_wyk_culinary_2014
