species,family,name,region,part,source
Pycnanthemum pilosum,Lamiaceae,hairy mountain mint,N Am,leaf; herb,van_wyk_culinary_2014
Pycnanthemum virginianum,Lamiaceae,Virginia mountain mint; Virginia thyme,N Am,leaf,van_wyk_culinary_2014
Pycnanthus angolensis,Myristicaceae,African nutmeg; Angolan nutmeg; false nutmeg,Trop Afr,seed,van_wyk_culinary_2014
Quararibea fieldii,Malvaceae,saha,Trop Am,flower,van_wyk_culinary_2014
Quararibea funebris,Malvaceae,chocolate flower,Mex,flower,van_wyk_culinary_2014
Quararibea turbinata,Malvaceae,swizzlestick tree,Trop Am,twigs,van_wyk_culinary_2014
Quassia amara,Simaroubaceae,bitterwood; Jamaica wood; quassia wood; Surinam quassia,Braz,wood,van_wyk_culinary_2014
Quassia excelsa,Simaroubaceae,Jamaica wood,Trop Am,wood,van_wyk_culinary_2014
Raphanus sativus,Brassicaceae,radish,cultivated (W As?),root,van_wyk_culinary_2014
Ravensara aromatica (Cryptocarya sp.),Lauraceae,clove nutmeg; Madagascar clove; Madagascar nutmeg,Madag,bark; leaf; seed,van_wyk_culinary_2014
Renanthera moluccana,Orchidaceae,anggrek merah; bunga karang,Indomal,young leaf,van_wyk_culinary_2014
Renealmia alpinia,Zingiberaceae,mountain renealmia,Mex,leaf; aril,van_wyk_culinary_2014
Reseda odorata,Resedaceae,mignonette; sweet mignonette; sweet reseda,N Afr,flower,van_wyk_culinary_2014
Rhamnus prinoides,Rhamnaceae,geisho; gesho,Afr,herb,van_wyk_culinary_2014
Rhaphidophora lobbii,Araceae,akar asam tebing paya,Pac,leaf,van_wyk_culinary_2014
Rheum rhabarbarum (R. ×hybridum),Polygonaceae,rhubarb; garden rhubarb,Eur?,petiole,van_wyk_culinary_2014
Rheum rhaponticum (R. ×cultorum),Polygonaceae,rhapontic rhubarb,Eur?,petiole,van_wyk_culinary_2014
Rhododendron tomentosum (=Ledum palustre),Ericaceae,marsh tea; marsh rosemary,Eur; As; N Am,leaf,van_wyk_culinary_2014
Rhus aromatica,Anacardiaceae,fragrant sumach; lemon sumach; skunkbush; polecat bush; Sicilian sumac,Eastern N Am,fruit,van_wyk_culinary_2014
Rhus coriaria,Anacardiaceae,sumac; sumach; spice sumac,S Eur,fruit,van_wyk_culinary_2014
Ribes divaricatum,Grossulariaceae,Worcesterberry,N Am,fruit,van_wyk_culinary_2014
Ribes ×nidigrolaria,Grossulariaceae,jostaberry,Eur,fruit,van_wyk_culinary_2014
Ribes nigrum,Grossulariaceae,blackcurrant; black currant,Eur; As,fruit,van_wyk_culinary_2014
Ribes rubrum,Grossulariaceae,redcurrant,Eur; As,fruit,van_wyk_culinary_2014
Ribes uva-crispa,Grossulariaceae,gooseberry,Eur,fruit,van_wyk_culinary_2014
Ricinodendron heudelotii,Euphorbiaceae,African nut,Trop Afr,seed,van_wyk_culinary_2014
Rosa ×centifolia,Rosaceae,cabbage rose; Holland rose; Provence rose,Eur,petals,van_wyk_culinary_2014
Rosa chinensis,Rosaceae,China rose; Bengal rose,China,petals,van_wyk_culinary_2014
Rosa ×damascena,Rosaceae,damask rose; Portland rose; pink damask rose; Bulgarian rose,SW Eur; W As,petals,van_wyk_culinary_2014
Rosa gallica,Rosaceae,French rose,Eur; W As,petals,van_wyk_culinary_2014
Rosa moschata,Rosaceae,musk rose,W Himal,petals,van_wyk_culinary_2014
Rosa ×odorata,Rosaceae,tea-scented rose,cultivated,petals,van_wyk_culinary_2014
Rosa rugosa,Rosaceae,Japanese rose,E As,petals,van_wyk_culinary_2014
Rosmarinus officinalis,Lamiaceae,rosemary,S & N Eur,leaf; herb,van_wyk_culinary_2014
Rumex acetosa,Polygonaceae,sorrel; common sorrel; garden sorrel,Eur; As,fresh leaf,van_wyk_culinary_2014
Rumex acetosella,Polygonaceae,sheep sorrel,N Temp,fresh lea,van_wyk_culinary_2014
Rumex hastatus,Polygonaceae,speared sorrel,E As,leaf,van_wyk_culinary_2014
Rumex sanguineus,Polygonaceae,red-veined sorrel,cultivated,leaf,van_wyk_culinary_2014
Rumex scutatus,Polygonaceae,French sorrel; buckler-leaved sorrel,Eur; As,leaf,van_wyk_culinary_2014
Rumex vesicarius,Polygonaceae,bladder dock,S Eur; W As; N Afr,leaf,van_wyk_culinary_2014
Ruta chalepensis,Rutaceae,fringed rue; Egyptian rue; Syrian rue; Aleppo rue,Med,herb,van_wyk_culinary_2014
Ruta graveolens,Rutaceae,rue; common rue; herb of grace,Eur,leaf; herb,van_wyk_culinary_2014
Salvia elegans (=S. rutilans),Lamiaceae,pineapple sage; pineapple-scented sage,C Am,leaf; herb,van_wyk_culinary_2014
Salvia fruticosa,Lamiaceae,Greek sage; Turkish sage,E Med,leaf,van_wyk_culinary_2014
Salvia hispanica,Lamiaceae,chia,C Mex,seed; herb,van_wyk_culinary_2014
Salvia lavandulifolia,Lamiaceae,Spanish sage,S Eur,leaf,van_wyk_culinary_2014
Salvia officinalis,Lamiaceae,sage; common sage; garden sage,S Eur; Med,leaf,van_wyk_culinary_2014
Salvia sclarea,Lamiaceae,clary; clary sage,Eur; C As,leaf,van_wyk_culinary_2014
Sambucus canadensis (=S. nigra subsp. canadensis),Caprifoliaceae,American elder,N Am,flower; fruit,van_wyk_culinary_2014
Sambucus nigra,Caprifoliaceae,elderflowers; elderberries; black elder; common elder; European elder,Eur; As; Med,flower; fruit,van_wyk_culinary_2014
Sanguisorba minor,Rosaceae,salad burnet; burnet; small burnet,C & S Eur,fresh leaf,van_wyk_culinary_2014
Sanguisorba officinalis,Rosaceae,burnet; garden burnet; great burnet,Eur; As,leaf,van_wyk_culinary_2014
Santalum album,Santalaceae,white sandalwood; East Indian sandalwood,Ind,wood,van_wyk_culinary_2014
Santolina rosmarinifolia,Asteraceae,green santolina,S Eur,fresh herb,van_wyk_culinary_2014
Saposhnikova divaricata,Apiaceae,fang-feng,NE As,fresh leaves,van_wyk_culinary_2014
Sassafras albidum,Lauraceae,sassafras; filé powder,N Am,leaf,van_wyk_culinary_2014
Satureja hortensis,Lamiaceae,savory; summer savory; garden savory,Med,leaf; herb,van_wyk_culinary_2014
Satureja montana,Lamiaceae,winter savory,S Eur,leaf; herb,van_wyk_culinary_2014
Satureja thymbra,Lamiaceae,thyme-leaved savory; thymbra,SE Eur,leaf,van_wyk_culinary_2014
Saussurea costus,Asteraceae,costus,E Himal,root,van_wyk_culinary_2014
Schinus molle,Anacardiaceae,pink pepper; Peruvian pepper,Peru,fruit,van_wyk_culinary_2014
Schinus terebinthifolius,Anacardiaceae,Brazilian pepper; pink pepper; red pepper,Braz,fruit,van_wyk_culinary_2014
Schisandra chinensis,Schisandraceae,Chinese magnolia vine; five-flavour fruit,China; Jap,fruit; bark,van_wyk_culinary_2014
Scyphocephalium mannii,Myristicaceae,West African nutmeg,W Afr,fruit; seed,van_wyk_culinary_2014
Scyphocephalium ochocoa,Myristicaceae,ochoco nutmeg,W Afr,seed,van_wyk_culinary_2014
Sesamum indicum,Pedaliaceae,sesame; sesam,Afr; Ind,seed,van_wyk_culinary_2014
Sinapis alba,Brassicaceae,white mustard; yellow mustard; mustard,Med,seed,van_wyk_culinary_2014
Sinapis arvensis,Brassicaceae,charlock; field mustard; California rape; wild mustard,Eur; Med,seed,van_wyk_culinary_2014
Siphonochilus aethiopicus,Zingiberaceae,African ginger,Trop Afr,rhizome; root,van_wyk_culinary_2014
Sison amonum,Apiaceae,hedge sison; honewort; stone parsley,Eur; Med,fruit (seed),van_wyk_culinary_2014
Sium bracteatum,Apiaceae,jellico,St Helena,petiole,van_wyk_culinary_2014
Sium sisarum,Apiaceae,skirret; crummock,E As,leaf,van_wyk_culinary_2014
Smilax aristolochiifolia,Smilacaceae,Mexican sarsaparilla; Veracruz sarsaparilla,S & N Am,rhizome; root; bark,van_wyk_culinary_2014
Smyrnium olusatrum,Apiaceae,alexanders; black lovage,E Med,leaf; fruit,van_wyk_culinary_2014
Solanum aethiopicum,Solanaceae,scarlet egg plant; bitter berry,Trop Afr,leaf; fruit,van_wyk_culinary_2014
Solanum macrocarpon,Solanaceae,African eggplant; gboma egg plant,W Afr,fresh herb,van_wyk_culinary_2014
Sonneratia caseolaris,Lythraceae,red-flowered Pornupan mangrove,Indomal,young fruit,van_wyk_culinary_2014
Sorbus aucuparia,Rosaceae,rowan,Eur; SW Asia,fruit,van_wyk_culinary_2014
Spilanthes acmella,Asteraceae,spilanthes; pará cress,Braz,leaf; flower head,van_wyk_culinary_2014
Spondias dulcis,Anacardiaceae,ambarella; Otaheite apple,Pac,fruit,van_wyk_culinary_2014
Spondias mombin,Anacardiaceae,caja fruit; yellow mombin; jobo,Trop Am,fruit,van_wyk_culinary_2014
Stevia rebaudiana,Asteraceae,stevia; sugar-leaf,S Am,leaf,van_wyk_culinary_2014
Swertia chirata,Gentianaceae,chirata; chireta,C As,herb,van_wyk_culinary_2014
Syzygium aromaticum,Myrtaceae,clove; cloves,Moluccas,flower buds,van_wyk_culinary_2014
Syzygium polyanthum,Myrtaceae,salam; Indonesian bay-leaf,Indomal,leaf,van_wyk_culinary_2014
Tagetes erecta (=T. patula),Asteraceae,African marigold; French marigold,Mex; C Am,flower,van_wyk_culinary_2014
Tagetes filifolia,Asteraceae,Irish lace marigold,Trop Am,leaf,van_wyk_culinary_2014
Tagetes lemmonii,Asteraceae,Mexican marigold,N Am,petals,van_wyk_culinary_2014
Tagetes lucida,Asteraceae,Mexican marigold mint; Mexican tarragon,Mex; Guatemala,herb,van_wyk_culinary_2014
Tagetes maxima,Asteraceae,great marigold,Trop Am,herb; flower,van_wyk_culinary_2014
Tagetes minuta,Asteraceae,huacataya; tagette; stinking roger; wild marigold; Mexican marigold,S Am,flower; herb,van_wyk_culinary_2014
Tagetes tenuifolia,Asteraceae,American saffron; signet marygold; slender leaf marigold; striped Mexican marigold; lemon gem; orange gem,Trop & warm Am,flower; leaf,van_wyk_culinary_2014
Talinum triangulare,Portulacaceae,talinum; flameflower; waterleaf,N Am,leaf,van_wyk_culinary_2014
Tamarindus indica,Leguminosae,tamarind; Indian tamarind,N Afr,fruit pulp; leaf,van_wyk_culinary_2014
Tanacetum balsamita,Asteraceae,alecost; costmary,Eur; C As,herb,van_wyk_culinary_2014
Tanacetum vulgare,Asteraceae,tansy,Euras,herb,van_wyk_culinary_2014
Taraxacum officinale,Asteraceae,dandelion,Euras,fresh leaf,van_wyk_culinary_2014
Tetrapleura tetraptera,Leguminosae,aridan; akpa; dawo; essanga; sanga,Trop Afr,fruit,van_wyk_culinary_2014
Theobroma cacao,Malvaceae,cacao,S Am (Andes),seed,van_wyk_culinary_2014
Thonningia sanguinea,Balanophoraceae,ground pineapple,W Afr,roots,van_wyk_culinary_2014
Thymus caespititius,Lamiaceae,Azores thyme; mountain thyme; tiny thyme,Euras,fresh leaves,van_wyk_culinary_2014
Thymus capitatus,Lamiaceae,catir; conehead thyme; Cretan thyme; Senegal savory; zatir,Euras,flowering herb,van_wyk_culinary_2014
Thymus ×citriodorus,Lamiaceae,lemon thyme,Euras,fresh leaves; fresh herb,van_wyk_culinary_2014
Thymus herba-barona,Lamiaceae,caraway thyme,Sardinia; Corsica,leaf,van_wyk_culinary_2014
Thymus hyemalis,Lamiaceae,lemon thyme; winter thyme,Euras,leaf,van_wyk_culinary_2014
Thymus mastichina,Lamiaceae,mastic thyme; Spanish (wild) marjoram; Spanish thyme,Euras,herb,van_wyk_culinary_2014
Thymus oenipontanus,Lamiaceae,Austrian thyme,Euras,fresh leaf,van_wyk_culinary_2014
Thymus praecox,Lamiaceae,alba thyme; creeping thyme; hairy thyme,Euras,leaf; herb,van_wyk_culinary_2014
Thymus pubescens,Lamiaceae,hairy thyme,Euras,leaf; herb,van_wyk_culinary_2014
Thymus pulegioides,Lamiaceae,lemon thyme; caraway thyme; wild thyme; herba barona,Eur,herb,van_wyk_culinary_2014
Thymus quinquecostatus,Lamiaceae,Japanese thyme; five-ribbed thyme,Euras,herb,van_wyk_culinary_2014
Thymus serpyllum,Lamiaceae,wild thyme,Euras,leaf; herb,van_wyk_culinary_2014
Thymus schimperi,Lamiaceae,Ethiopian thyme,N Afr,herb,van_wyk_culinary_2014
Thymus vulgaris,Lamiaceae,common thyme; garden thyme,W Med; SE Italy,leaf; herb,van_wyk_culinary_2014
Thymus zygis,Lamiaceae,Spanish thyme; sauce thyme,W Med,herb,van_wyk_culinary_2014
Toddalia asiatica,Rutaceae,Lopez fruit; wild orange tree,Trop OW,fruit,van_wyk_culinary_2014
Trachyspermum ammi,Apiaceae,ajowan; bishop’s weed; omum; omam; white cumin; Ethiopian caraway,Egypt; Ethiopia,fruit,van_wyk_culinary_2014
Trachyspermum roxburghianum,Apiaceae,ajmud; radhuni,Indomal,fruit,van_wyk_culinary_2014
Treculia africana,Moraceae,African bread fruit; African boxwood,Afr,seed,van_wyk_culinary_2014
Trigonella caerulea,Leguminosae,blue trefoil,Eur; W As,seed; herb,van_wyk_culinary_2014
Trigonella corniculata,Leguminosae,clustered trefoil,Eur; Med; W As,seed,van_wyk_culinary_2014
Trigonella foenumgraecum,Leguminosae,fenugreek,S Eur; W As,seed; herb,van_wyk_culinary_2014
Triphasia trifolia,Rutaceae,lime berry; trifoliate lime; Chinese lime; myrtle lime,SE As,fruit,van_wyk_culinary_2014
Tropaeolum majus,Tropaeolaceae,Indian cress; garden nasturtium,Peru,bud; leaf; flower,van_wyk_culinary_2014
Turneria diffusa,Turneraceae,damiana,Trop Am,fruit,van_wyk_culinary_2014
Urophyllum arboreum,Rubiaceae,ki cengkeh,Trop OW; Jap,bruised leaves,van_wyk_culinary_2014
Vaccaria hispanica,Caryophyllaceae,cow cockle; cow herb; dairy pink,Euras; Med,herb,van_wyk_culinary_2014
Valerianella locusta,Caprifoliaceae,corn salad; lamb’s lettuce; mache,Eur; Med,herb,van_wyk_culinary_2014
Vanilla planifolia,Orchidaceae,vanilla; Bourbon vanilla; Mexican vanilla,Trop Am,fruit,van_wyk_culinary_2014
Verbascum densiflorum,Scrophulariaceae,large flowered mullein; common mullein,C Eur,flower,van_wyk_culinary_2014
Verbascum phlomoides,Scrophulariaceae,clasping mullein; orange mullein,S Eur,flower,van_wyk_culinary_2014
Verbena officinalis,Verbenaceae,common verbena; European vervain; lemon-scented verbena; vervain,Euras; Afr; Am,leaf; herb,van_wyk_culinary_2014
Vernonia amygdalina,Asteraceae,almond veronia; bitter leaf,Trop Afr,leaf,van_wyk_culinary_2014
Viola odorata,Violaceae,common violet; florist’s violet; garden violet; sweet-scented violet,Euras; Afr,flower; herb,van_wyk_culinary_2014
Vitex agnus-castus,Verbenaceae,chaste pepper,S Eur,fruit,van_wyk_culinary_2014
Warburgia salutaris,Canellaceae,pepperbark tree,E Afr,leaf; bark,van_wyk_culinary_2014
Wasabia japonica,Brassicaceae,Japanese horseradish; mountain hollyhock; wasabi,Jap,stem,van_wyk_culinary_2014
Xylopia aethiopica,Annonaceae,African pepper; Ethiopian pepper; Guinea pepper; kimba pepper; negro pepper; grains of Selim; spice tree,Trop W Afr,fruit,van_wyk_culinary_2014
Xylopia aromatica,Annonaceae,pachinhos; pimenta de macaco; pimenta de negro,E Braz,seed,van_wyk_culinary_2014
Xylopia parviflora,Annonaceae,striped African pepper,Liberia,fruit,van_wyk_culinary_2014
Xylopia sericea,Annonaceae,hairy peppper,Braz,seed,van_wyk_culinary_2014
Zanthoxylum acanthopodium,Rutaceae,adaliman; tomar seed,Indonesia,fruit,van_wyk_culinary_2014
Zanthoxylum ailanthoides,Rutaceae,yue jiao,Vietnam,fruit,van_wyk_culinary_2014
Zanthoxylum alatum,Rutaceae,timur,Nepal,fruit,van_wyk_culinary_2014
Zanthoxylum armatum,Rutaceae,zhu ye jiao; Chinese pepper,China,fruit,van_wyk_culinary_2014
Zanthoxylum bungeanum,Rutaceae,Chinese pepper,N China,leaf; fruit,van_wyk_culinary_2014
Zanthoxylum piperitum,Rutaceae,sansho; Japanese pepper,E As,fruit; leaf,van_wyk_culinary_2014
Zanthoxylum rhetsa,Rutaceae,tippal; Indian pepper,N Ind,fruit; seed,van_wyk_culinary_2014
Zanthoxylum schinifolium,Rutaceae,sancho,C & E As,fruit; leaf,van_wyk_culinary_2014
Zanthoxylum simulans,Rutaceae,Chinese pepper; Sichuan pepper; chuan jiao,China,fruit; leaf,van_wyk_culinary_2014
Zanthoxylum tessmannii,Rutaceae,African pepper,Afr,fruit,van_wyk_culinary_2014
Zingiber mioga,Zingiberaceae,mioga ginger; Japanese (wild) ginger,Jap,rhizome,van_wyk_culinary_2014
Zingiber officinale,Zingiberaceae,ginger; common ginger,Ind,rhizome,van_wyk_culinary_2014
Zingiber zerumbet,Zingiberaceae,wild ginger; zerumbet ginger,Indomal,rhizome,van_wyk_culinary_2014
Ziziphora tenuior,Lamiaceae,ziziphora,C As (Turkey),leaf,van_wyk_culinary_2014
