language,include,category,item,species,area,nature,exotic,simp,script,term,script alt,term alt,IPA,status,ety,literal,meaning,remark,notes,first,ambiguous,source page,source zotero,source human,source link,conventionalized,dict page,dictionary,dict link,wiktionary,date,century,period,based on,att page,attested,att,att link,CQL,warning,historic,per m H,tenten,per m C,bdb,etymology,quote,historical corpus,analyzability,structure,element,borrowing,how,type,has prototype,is prototype,modifier tr,head tr,specifying word tr,modifier,headword,specifier,modifier type,modifier type revised,modifier similarity,sensory,headword type,headword similarity,mechanism
Chinese,yes,asafoetida,asafoetida,Ferula spp.,Asia,,,形虞,形虞,xíngyú,,,,alternative,,,asafoetida,,from Sanskrit hiṅgu,word,,,leung_itinerary_2019,"Leung, 2019",,,,,,,,,,,,,,,,,,,0,<,,,,,unanalyzable,compound,,yes,phonetic,basic,no,,,xíngyú,,,xíngyú,,,,,,,,
Chinese,yes,asafoetida,asafoetida,Ferula spp.,Asia,,,兴蕖/兴渠/兴瞿,興蕖/興渠/興瞿,xīngqú,,薰渠,/hɨŋ  ɡɨʌ/,historic,done,,asafoetida,,from Sanskrit hiṅgu,word,,,leung_itinerary_2019,"Leung, 2019",,,,,,,c400?,5,,,,,,,,,,,100,0.01,,,,,unanalyzable,compound,,yes,phonetic,basic,no,,,xīngqú,,,xīngqú,,,,,,,,
Arabic,yes,asafoetida,asafoetida,Ferula spp.,Asia,spice,,الحلتيت,حلتیت,ḥiltīt,حلتيث,"ḥaltīt, ḥiltīth",,default,done,,asafoetida,,the plant is anjudan,,no,,,"Wehr, 1976",,yes,201,wehr_dictionary_1976; baalbaki_-mawrid_1995,,https://en.wiktionary.org/wiki/%D8%AD%D9%84%D8%AA%DB%8C%D8%AA,a791,8,,KSUCCA,,al-Farahidi,al-Farahidi Kitab al-Ayn,,"[word=""الحلتيت""] | [word=""حلتيت""] | [word=""الحلتيث""] | [word=""حلتيث""]",,258.0,4.32,986,0.12,,,Kitab al-Ayn:  الحلتيت : [ الأنجذان ],448.0,unanalyzable,simple,,yes,phonetic,basic,,,,ḥiltīt,,,ḥiltīt,,,,,,,,
Arabic,yes,asafoetida,asafoetida,Ferula spp.,Asia,plant,,,أبو كبير,abū kabīr,,,,alternative,,big father,"asafoetida, devil's dung",,,,,,,"Wehr, 1976",,yes,810,wehr_dictionary_1976,http://arabiclexicon.hawramani.com/?p=67223#4aa9f0,,a791,8,,KSUCCA,,al-Farahidi Kitab al-Ayn,,,,,,,,,,,,,analyzable,compound,,no,,modified,,,,abū kabīr,,,abū kabīr,,,,,,,,
Arabic,yes,asafoetida,asafoetida,Ferula spp.,Asia,,,,صمغ الأجذان,samgh al-anjudān,,,,alternative,,gum of anjudan,,,,,,,,"Baalbaki, 1995",,yes,,baalbaki_-mawrid_1995,,,,,,,,,,,,,,,,,,,,,analyzable,compound,,no,,modified,,,al-anjudān,samgh,,ferula,gum,,prototype,prototype,,,plant part,,
Arabic,yes,asafoetida,asafoetida,Ferula spp.,Asia,,,,صمغ راتيناجي,samgh rātīnājī,,,,alternative,,rātīnājī gum,,rātīnāj is pine resin in Persian,,,,,,"Baalbaki, 1995",,yes,,baalbaki_-mawrid_1995,,,,,,,,,,,,,,,,,,,,,semi-analyzable,compound,,no,,modified,,,rātīnājī,samgh,,rātīnājī,gum,,prototype,prototype,,,plant part,,
Arabic,yes,asafoetida,asafoetida,Ferula spp.,Asia,plant,,الأـنجدان,أنجدان,anjudān,,anjudhān,,alternative,done,,"asafoetida; ferula, giant fennel",,الانجدان,,no,,,"Baalbaki, 1995",,yes,,baalbaki_-mawrid_1995,,,a791,8,,KSUCCA,,al-Farahidi Kitab al-Ayn,,ibn_manzur_lisan_1979,,,,,,,,,,33.0,unanalyzable,simple,,yes,phonetic,basic,,,,anjudān,,,anjudān,,,,,,,,
English,yes,cardamom,black cardamom,Amomum spp.,Asia,spice,,,,amomum,,,,historic,done,,oriental spice plants,,,,yes,,,OED,,yes,amomum,OED,https://www.oed.com/view/Entry/6523,,a1398,14,,OED,,,,,,,,,,,,,J. Trevisa tr. Bartholomaeus Anglicus De Proprietatibus Rerum (BL Add. 27944) (1975) II. xvii. viii. 908   Amomum haþ þat name for it smelleþ as canel doþ þat haþ cinamomum.,,unanalyzable,simple,1.0,yes,learned loan,basic,no,,,amomum,,,amomum,,,,,,,,
English,yes,cardamom,black cardamom,Amomum subulatum,Asia,spice; plant,yes,,,black cardamom,,,,related,,,,,,,yes,,AHD,AHD,,yes,black cardamom,AHD,https://www.ahdictionary.com/word/search.html?q=black+cardamom,,1837,19,,AHD,,,,,,,,,,,,,,,analyzable,compound,2.0,no,,modified,yes,,black,cardamom,,black,cardamom,,color,color,,visual,prototype similarity,physical; chemical; functional,
English,yes,cardamom,black cardamom,Amomum subulatum,Asia,,,,,brown cardamom,,,,related,,,,,,,no,,van_wyk_culinary_2014,"Van Wyk, 2014",,no,,,,,,,,,,,,,,,,,,,,,,,analyzable,compound,2.0,no,,modified,yes,,brown,cardamom,,brown,cardamom,,color,color,,visual,prototype similarity,physical; chemical; functional,
